#blinkered/attestations/2 language=ru words=67213 sources=9 built=2026-09-21 digest=4efa5faca5e8e610
#tokens fw2=937082939 ia=48882445 lz:rus_news_2023_1M=3704689 lz:rus_news_2024_1M=3706880 tat=5358805 web:kommersant.ru=211365 web:lenta.ru=62650 web:prochtenie.org=228375 web:ria.ru=283121 web:vedomosti.ru=320594 wiki:ru=811159367 wikisource:ru=578540809
ТЕШИТЕ	fw2,wiki:ru,wikisource:ru	22,1,17	fw2:http://nvdaily.ru/info/29082.html fw2:http://www.labirint.ru/reviews/goods/444069/ wiki:ru:5229779 wikisource:ru:85619 wikisource:ru:437662
ЗАКОСТЕНЕЛЫХ	fw2,wiki:ru,wikisource:ru	19,12,11	fw2:http://studentochka.ru/subscribe_12.html fw2:http://minkult.orb.ru/novosti/id4935 wiki:ru:93912 wiki:ru:103893 wikisource:ru:818005 wikisource:ru:1001777
ИСЦЕЛЕННЫМИ	fw2,wiki:ru,wikisource:ru	22,8,12	fw2:http://shaumbra.ru/frm/viewtopic.php?t=854&p=1345 fw2:http://utomlenno.ru/uto-79no.htm wiki:ru:260736 wiki:ru:722529 wikisource:ru:870870 wikisource:ru:1003510
ВОЗНИКНЕШЬ	fw2,ia,wikisource:ru	1,2,7	fw2:https://medcenter4.by/beremennost-i-deti/pryatki-poleznaya-igra-dlya-zdorovya-detej.html ia:vesna_1908_1911/all-OCR_djvu.txt ia:vesna_1911/all-OCR_djvu.txt wikisource:ru:22960 wikisource:ru:322215
ЗАКУПОРЮ	fw2,ia,wikisource:ru	1,2,7	fw2:https://ollam.ru/classic/rus/pushkin-aleksandr/monah ia:10-.-6.-.-.-.-1950./%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD%20%D0%90.%20%D0%A1.%20%D0%9F%D0%BE%D0%BB%D0%BD.%20%D1%81%D0%BE%D0%B1%D1%80.%20%D1%81%D0%BE%D1%87.%20%D0%B2%2010-%D1%82%D0%B8%20%D1%82%D1%82.%20%D0%A2%D0%BE%D0%BC%201.%20%D0%9C.-%D0%9B.%201950._djvu.txt ia:19-.-19.-m.-.-1997./%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD%20%D0%90.%20%D0%A1.%20%D0%9F%D0%BE%D0%BB%D0%BD%D0%BE%D0%B5%20%D1%81%D0%BE%D0%B1%D1%80%D0%B0%D0%BD%D0%B8%D0%B5%20%D1%81%D0%BE%D1%87%D0%B8%D0%BD%D0%B5%D0%BD%D0%B8%D0%B9%20%D0%B2%2019%20%D1%82%D0%BE%D0%BC%D0%B0%D1%85.%20%D0%A2%D0%BE%D0%BC%201.%20M.%20%D0%92%D0%BE%D1%81%D0%BA%D1%80%D0%B5%D1%81%D0%B5%D0%BD%D1%8C%D0%B5.%201994._djvu.txt wikisource:ru:7645 wikisource:ru:472712
НАХАЛЬНЕЙ	fw2,ia,wikisource:ru	1,2,7	fw2:http://n4option.ru/9502.html ia:2021_20210502_20210502/%D0%9B%D0%B5%D0%BE%D0%BD%D0%B8%D0%B4%20%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D0%BD%20-%20%5B2021%5D%20-%20%D0%A1%D0%BB%D0%BE%D0%B2%D0%B0%D1%80%D1%8C%20%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%B8%D1%85%20%D0%B0%D1%80%D0%B3%D0%BE%D1%82%D0%B8%D0%B7%D0%BC%D0%BE%D0%B2_djvu.txt ia:BoguSlava/Bogu_Slava_djvu.txt wikisource:ru:44848 wikisource:ru:999897
ОТГОРОДИШЬСЯ	fw2,ia,wikisource:ru	1,2,7	fw2:http://fb2.booksgid.com/content/47/nikolay-nagornov-vechnaya-lyubov/13.html ia:120_tysyach_anekdotov/anek_djvu.txt ia:2-2004_202211/%D1%82%D0%B8%D1%85%D0%BE%D0%BD%D0%BE%D0%B2%20%D0%B0.%20%D0%BD.%20(%D1%80%D0%B5%D0%B4.)%20-%20%D1%84%D1%80%D0%B0%D0%B7%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9%20%D1%81%D0%BB%D0%BE%D0%B2%D0%B0%D1%80%D1%8C%20%D1%81%D0%BE%D0%B2%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%BD%D0%BE%D0%B3%D0%BE%20%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%BE%D0%B3%D0%BE%20%D0%BB%D0%B8%D1%82%D0%B5%D1%80%D0%B0%D1%82%D1%83%D1%80%D0%BD%D0%BE%D0%B3%D0%BE%20%D1%8F%D0%B7%D1%8B%D0%BA%D0%B0%20(%D0%A2.1)%20-%202004_djvu.txt wikisource:ru:823851 wikisource:ru:999847
ПЕРЕЛЕЗЬ	fw2,ia,wikisource:ru	1,2,7	fw2:http://forumroditeley.ru/viewtopic.php?t=3300&start=0 ia:16_20220327/%D0%9F%D0%9E%D0%A1-11%20(%D0%B7%D0%B0%D0%B1%D0%B0%D0%B4%D1%8B%D0%B2%D0%B0%D1%82%D1%8C-%D0%B7%D0%B0%D0%BC%D1%8F%D1%89%D0%B8%D0%BD%D0%B0)_djvu.txt ia:9_20220327/%D0%9F%D0%9E%D0%A1-11%20(%D0%B7%D0%B0%D0%B1%D0%B0%D0%B4%D1%8B%D0%B2%D0%B0%D1%82%D1%8C-%D0%B7%D0%B0%D0%BC%D1%8F%D1%89%D0%B8%D0%BD%D0%B0)_djvu.txt wikisource:ru:391752 wikisource:ru:1029233
ПОРАНЮ	fw2,ia,wikisource:ru	1,2,7	fw2:http://hafiz-chair.com/item_12.php ia:1914._202202/%D0%94%D0%BE%D0%B1%D1%80%D0%BE%D0%B2%D0%BE%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9%20%D0%92.%D0%9D.%20%D0%A1%D0%BC%D0%BE%D0%BB%D0%B5%D0%BD%D1%81%D0%BA%D0%B8%D0%B9%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D0%B9%20%D1%81%D0%BB%D0%BE%D0%B2%D0%B0%D1%80%D1%8C.%20%D0%A1%D0%BC%D0%BE%D0%BB%D0%B5%D0%BD%D1%81%D0%BA%2C%201914._djvu.txt ia:vesna_1911/all-OCR_djvu.txt wikisource:ru:870903 wikisource:ru:1003133
РЫЛОСЬ	fw2,ia,wikisource:ru	1,2,7	fw2:https://manull.livejournal.com/344926.html ia:2008_20211219/%D0%A2%D0%BA%D0%B0%D1%87%D0%B5%D0%BD%D0%BA%D0%BE%20%D0%9F.%20%D0%98.%20-%20%D0%9A%D1%83%D0%B1%D0%B0%D0%BD%D1%81%D0%BA%D0%B8%D0%B9%20%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%20(%D1%81%D0%BB%D0%BE%D0%B2%D0%B0%D1%80%D1%8C)%20-%202008_djvu.txt ia:byloe_1903_1907/%201907%20%E2%84%961%20(13)_djvu.txt wikisource:ru:231256 wikisource:ru:1000067
